Sexo,Altura,Peso
M,1.87,109.72
M,1.74,73.62
M,1.88,96.49
M,1.82,99.81
M,1.77,93.6
M,1.7,69.04
M,1.74,83.42
M,1.73,76.19
M,1.7,79.8
M,1.61,70.94
M,1.8,84.64
M,1.81,96.95
M,1.64,75.8
M,1.75,85.93
M,1.75,84.56
M,1.71,78.1
M,1.83,88.91
M,1.62,78.41
M,1.76,84.36
M,1.72,82.74
M,1.72,78.97
M,1.76,89.69
M,1.68,67.66
M,1.91,103.76
M,1.72,73.48
M,1.73,87.24
M,1.75,83.65
M,1.84,93.81
M,1.71,79.47
M,1.73,70.0
M,1.74,85.05
M,1.88,96.57
M,1.81,88.46
M,1.75,93.07
M,1.76,92.6
M,1.78,87.5
M,1.75,89.58
M,1.7,83.37
M,1.67,74.32
M,1.63,73.98
M,1.72,78.08
M,1.83,88.01
M,1.65,76.48
M,1.67,73.11
M,1.71,74.68
M,1.78,85.69
M,1.73,84.85
M,1.83,94.83
M,1.75,87.09
M,1.85,95.86
M,1.64,75.12
M,1.78,91.2
M,1.73,78.66
M,1.71,82.28
M,1.7,76.99
M,1.68,74.07
M,1.73,86.05
M,1.79,87.14
M,1.8,89.9
M,1.77,95.04
M,1.81,90.15
M,1.76,89.84
M,1.87,88.58
M,1.7,74.81
M,1.81,81.58
M,1.65,70.42
M,1.73,83.69
M,1.84,100.09
M,1.72,83.15
M,1.74,89.11
M,1.75,83.73
M,1.79,94.13
M,1.76,80.37
M,1.71,73.98
M,1.84,98.07
M,1.8,92.83
M,1.82,91.13
M,1.83,100.2
M,1.68,89.1
M,1.67,76.49
M,1.71,82.29
M,1.73,90.11
M,1.87,107.91
M,1.77,78.49
M,1.67,72.88
M,1.8,85.55
M,1.69,94.5
M,1.75,87.74
M,1.73,78.97
M,1.83,89.52
M,1.82,91.45
M,1.65,82.1
M,1.79,82.61
M,1.64,80.53
M,1.7,74.83
M,1.65,75.16
M,1.82,87.58
M,1.69,81.95
M,1.68,78.37
M,1.76,80.5
M,1.77,91.09
M,1.69,76.08
M,1.68,70.03
M,1.73,80.73
M,1.77,83.43
M,1.74,81.28
M,1.71,71.92
M,1.68,75.52
M,1.75,78.01
M,1.71,79.09
M,1.76,85.16
M,1.73,91.39
M,1.81,92.95
M,1.75,81.05
M,1.7,74.39
M,1.87,101.27
M,1.76,92.06
M,1.73,85.9
M,1.72,80.81
M,1.82,101.28
M,1.61,75.76
M,1.74,81.86
M,1.7,74.58
M,1.59,68.02
M,1.83,87.5
M,1.8,91.57
M,1.71,81.58
M,1.79,89.11
M,1.76,85.07
M,1.68,77.88
